EA_max,EB_max,EA_ratio,EB_ratio,S2_yield,S3_yield,S2_final,S3_final,converged,solver_status,immobilization,decay_kA,decay_kB,enzyme_profile
3.4,6.6,0.34,0.66,0.005481165,0.953593061,5.481165297,953.5930607,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
3.666666667,6.333333333,0.366666667,0.633333333,0.005179484,0.958542904,5.179484333,958.5429042,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
3.933333333,6.066666667,0.393333333,0.606666667,0.004910497,0.962789566,4.910497174,962.7895658,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
4.2,5.8,0.42,0.58,0.004671192,0.966456024,4.671192486,966.4560237,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
4.466666667,5.533333333,0.446666667,0.553333333,0.004459079,0.969638925,4.459078549,969.6389248,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
4.733333333,5.266666667,0.473333333,0.526666667,0.004272144,0.972415111,4.272144444,972.4151105,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
5,5,0.5,0.5,0.004108836,0.974846271,4.108835603,974.8462711,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
5.1,4.9,0.51,0.49,0.004053446,0.97567951,4.053445632,975.6795098,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
5.366666667,4.633333333,0.536666667,0.463333333,0.003920911,0.977715794,3.920911152,977.7157938,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
5.633333333,4.366666667,0.563333333,0.436666667,0.003810145,0.979510785,3.810144577,979.5107848,TRUE,optimal,theta1,0,0,"{'default_fun': 'linear', 'adjust_Np': True, 'enzymeA': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0, 'x_step_down': 0.3, 'smoothness': 300}, 'enzymeB': {'fun': 'step', 'start': 0, 'end': 1, 'x_step_up': 0.7, 'x_step_down': 1, 'smoothness': 300}}"
